sources,pmid,doi,pui,ut,pii,title,year,journal
embase|pubmed,42509367,10.1007/s00284-026-05001-1,2047845416,,,Molecular and Serological Surveillance of Dengue Virus and Vector Dynamics in the Highlands of Southwestern Saudi Arabia.,2026,Curr Microbiol
embase|pubmed,42480195,10.1016/j.vaccine.2026.128929,2047724992,,,Beyond neutralization: A comprehensive framework for evaluating humoral immunity induced by a live-attenuated tetravalent dengue vaccine.,2026,Vaccine
embase|pubmed,42351458,10.3390/diagnostics16121799,2046657313,,,"Analytical and Clinical Evaluation of the STANDARD M10 Arbovirus Panel for Dengue Detection, Serotyping, and Multiplex Arboviral Screening in the Americas.",2026,Diagnostics (Basel)
pubmed,42317899,10.7759/cureus.109055,,,,Comparison of Colorimetric (Enzyme-Linked Immunosorbent Assay (ELISA)) and Chemiluminescent Immunoassay (CLIA) Methods for Detection of Dengue Nonstructural Protein 1 (NS1) Antigen in Acute Dengue Infection.,2026,Cureus
embase|pubmed,42251926,10.1016/j.cca.2026.121146,2046217922,,,Biomarker-driven biosensing strategies for early risk stratification in severe dengue.,2026,Clin Chim Acta
embase|pubmed,42248681,10.1002/cmdc.70337,2046140427,,,Synthesis and Evaluation of Aromatic Sulfonamide and Disulfonamide Derivatives as Dengue Virus NS3-NS5 Interaction Inhibitors.,2026,ChemMedChem
embase|pubmed,42148577,10.1128/spectrum.03669-25,2047556428,,,"Multicenter evaluation of a single-device dengue antibody/antigen rapid test for simultaneous detection of NS1, IgM, and IgG.",2026,Microbiol Spectr
embase|pubmed,42044185,10.1371/journal.pntd.0014295,651046439,,,Improved and customized dengue serodiagnostics through combined NS1/IgM testing and novel dual-cut-off IgG ELISA.,2026,PLoS Negl Trop Dis
pubmed,41884452,10.5501/wjv.v15.i1.117079,,,,Seroprevalence and clinical profile of dengue infection among acute febrile patients at a rural tertiary care hospital.,2026,World J Virol
embase|pubmed,41833174,10.1016/j.talanta.2026.129666,2043820194,,,Chopped optical biosensing enables temporal background subtraction for high-sensitivity fluorescence immunoassays.,2026,Talanta
embase|pubmed,41827002,10.1186/s13071-025-07241-9,2044913278,,,"Control and mitigation of dengue and Zika virus transmission in a hospital in Recife, Brazil: a successful experience with an integrated control program against Aedes aegypti.",2026,Parasit Vectors
embase|pubmed,41708567,10.1007/s00604-026-07917-8,650293785,,,"Plasmonic sensors for dengue virus detection: technological advances, challenges, future directions.",2026,Mikrochim Acta
embase|pubmed,41681713,10.3390/diagnostics16030395,2043166187,,,Combined Analytical and Clinical Performance Evaluation of a Novel Dengue NS1 Rapid Test in a Real-World Endemic Setting.,2026,Diagnostics (Basel)
embase|pubmed,41662405,10.1371/journal.pntd.0013984,2044157648,,,"Assessing the diagnostic performance of clinical, serological and molecular approaches to improve dengue case detection in the Peruvian Amazon.",2026,PLoS Negl Trop Dis
embase|pubmed,41601210,10.1111/tmi.70088,2042866350,,,Evaluating Three Rapid Tests for Dengue in Febrile Patients in a Dengue-Endemic Area.,2026,Trop Med Int Health
embase|pubmed,41578914,10.1002/jmv.70820,2042695791,,,Utility of Recombinant Envelope Domain III as a Diagnostic Antigen for the Specific Detection of Kyasanur Forest Disease.,2026,J Med Virol
embase|pubmed,41557724,10.1371/journal.pntd.0013883,2043543540,,,"Tracking the clinico-microbiological profile and molecular characterization of dengue cases during the monsoon-season in Belagavi, Karnataka.",2026,PLoS Negl Trop Dis
embase|pubmed,41545441,10.1038/s41598-026-35952-1,649952397,,,Evaluation of polyclonal antibodies raised in rabbits against dengue NS1 antigen.,2026,Sci Rep
embase|pubmed,41516578,10.3390/s26010145,649893858,,,"Next-Generation Diagnostic Technologies for Dengue Virus Detection: Microfluidics, Biosensing, CRISPR, and AI Approaches.",2025,Sensors (Basel)
embase|pubmed,41206443,10.1093/inthealth/ihaf116,2047332295,,,Combining non-structural protein 1 and IgM tests for acute dengue diagnosis in Saudi Arabia.,2026,Int Health
embase|pubmed,41183705,10.1016/j.jim.2025.114000,2041056163,,,Development of a sensitive sandwich ELISA for the envelope domain III protein of dengue virus type 2.,2025,J Immunol Methods
embase|pubmed,41171893,10.1371/journal.pntd.0013168,2037407890,,,Engineered Nanobodies for early and accurate diagnosis of dengue virus infection.,2025,PLoS Negl Trop Dis
embase|pubmed,40882150,10.4103/jvbd.jvbd_136_25,2046293419,,,Diagnostic accuracy of three dengue NS1 antigen ELISA kits in comparison to chemiluminescence immunoassay.,2026,J Vector Borne Dis
embase|pubmed,40835166,10.1016/j.jiac.2025.102797,2040195403,,,"Dengue virus serotype 4 infection diagnosed not by rapid antigen test, but by real-time reverse transcription-PCR and enzyme-linked immunosorbent assay: A case report.",2025,J Infect Chemother
embase|pubmed,40788955,10.1371/journal.pntd.0013250,2037123630,,,"Development of an affordable multiplex quantitative RT-PCR assay for early detection and surveillance of Dengue, Chikungunya, and co-infections from clinical samples in resource-limited settings.",2025,PLoS Negl Trop Dis
embase|pubmed,40751696,10.1002/jmv.70541,2035582762,,,Prospective Evaluation of the FUJIFILM SILVAMP Dengue NS1 Ag for Early Dengue Detection: A Multicenter Study in Thailand.,2025,J Med Virol
