cn,title,year,journal,doi,url
CN-01159642,Detection of dengue cases by serological testing in a dengue vaccine efficacy trial: utility for efficacy evaluation and impact of future vaccine introduction,2016,,10.1016/j.vaccine.2016.04.028,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01159642/full
CN-01194435,"Dengue, zika and chikungunya",2016,,,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01194435/full
CN-02073025,Performance of two zika virus neutralizing antibody titer classification schemes against zika NS1 blockade-of-binding assay during the 2015-2016 epidemic in Guatemala,2019,,10.4269/ajtmh.abstract2019,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02073025/full
CN-02166683,Comparison of two fluid therapy regimen in children presenting with Dengue with warning signs and compensated shock( low blood flow from the heart to the organs) and look at the outcome,2020,,,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02166683/full
CN-00848343,"Protective efficacy of the recombinant, live-attenuated, CYD tetravalent dengue vaccine in Thai schoolchildren: a randomised, controlled phase 2b trial",2012,,10.1016/S0140-6736(12)61428-7,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00848343/full
CN-02250431,Accuracy and efficacy of pre-dengue vaccination screening for previous dengue infection with five commercially available immunoassays: a retrospective analysis of phase 3 efficacy trials,2021,,10.1016/S1473-3099(20)30695-2,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02250431/full
CN-01891679,A clinical trial to study the effects of Caripill drug on severely low platelet counts in patients with dengue disease,2017,,,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01891679/full
CN-02684405,A Phase III clinical trial to evaluate the efficacy and safety of a single dose of “Dengue Vaccine (DengiAll) in Healthy Indian Adults,2024,,,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02684405/full
CN-02468947,An Experimental Medicine Decipher of a Minimum Correlate of Cellular Immunity,2022,,,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02468947/full
CN-02811169,Non-interference Study of MR and Yellow Fever Vaccines Among Bangladeshi Infants Aged 9-12 Months,2025,,,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02811169/full
