source,pui,pmid,doi,title,year,journal,authors,pubtype,issn,volume,issue,pages
embase,2042914298,,10.1038/s41541-025-01356-x,Multi-antigen DNA vaccine targeting non-structural proteins confers robust T Cell-mediated protection against Zika virus,2026,npj Vaccines,"Santos, R.; Mekonnen, Z.A.; Yeow, A.E.L.; Whelan, D.M.; Al-Delfi, Z.; Eyre, N.S.; Beard, M.R.; Barouch, D.H.; O’Connor, D.H.; Masavuli, M.G.; Grubor-Bauk, B.",Article,20590105,11,1,35
embase,2044039755,41652392,10.1186/s12879-026-12791-z,"The emergence of autochthonous dengue fever in Iran: a comprehensive analysis of the first major outbreak in Sistan and Baluchestan Province, 2024",2026,BMC Infectious Diseases,"Abbasi, M.; Noori, E.S.; Mobaraki, F.; Dehghan, O.; Nikpour, F.; Raeisi, A.; Mirolyaie, A.; Alizadeh, M.; Koosha, A.; Yousefi, S.",Article,14712334,26,1,525
embase,2044913278,41827002,10.1186/s13071-025-07241-9,"Control and mitigation of dengue and Zika virus transmission in a hospital in Recife, Brazil: a successful experience with an integrated control program against Aedes aegypti",2026,Parasites and Vectors ,"Candida-Silva, H.E.; Ferreira, H.R.P.; Mendonça, J.D.A.; da Silva, R.A.; Krokovsky, L.; Martins, L.D.O.; Barbosa, K.E.D.S.; Ribeiro, F.J.; de Oliveira, C.M.F.; Ayres, C.F.J.; Paiva, M.H.S.; de Melo-Santos, M.A.V.",Article,17563305,19,1,174
embase,2045354598,42104518,10.1186/s40249-026-01450-9,"A rapid multiplex platform for simultaneous detection of chikungunya virus, dengue virus, and dengue serotyping based on isothermal amplification and lateral flow dipsticks",2026,Infectious Diseases of Poverty,"Liu, G.; Wu, X.; Chang, Y.; Zheng, M.; Liu, L.; Xia, X.; Feng, Y.",Article,20499957,15,1,52
embase,2046383183,,10.1186/s12982-026-02269-3,Assessing the readiness of rapid diagnostic tests for integration into the national dengue control strategy of India,2026,Discover public health,"Pise, K.H.; Chavan, S.; Gurav, Y.",Review,30050774,23,1,906
embase,2046217922,42251926,10.1016/j.cca.2026.121146,Biomarker-driven biosensing strategies for early risk stratification in severe dengue,2026,Clinica Chimica Acta,"Lim, W.Y.; Augustin, Y.; Krishna, S.; Khor, S.M.; Chung, I.",Article,18733492,591,,121146
embase,2047845416,42509367,10.1007/s00284-026-05001-1,Molecular and Serological Surveillance of Dengue Virus and Vector Dynamics in the Highlands of Southwestern Saudi Arabia,2026,Current Microbiology,"Ghzwani, A.H.; Alzubaidi, M.A.; Al-Mekhlafi, H.M.; Taha, M.M.E.; Eisa, Z.M.; Khawaji, T.K.; Zalah, A.A.; Abushushah, Q.M.A.; Ghazwani, K.M.; Mashlawi, A.M.; Atroosh, W.M.; Abdulhaq, A.A.; Otaen, A.A.; Abdelwahab, S.I.; Algaissi, A.",Article,14320991,83,9,495
embase,2047724992,42480195,10.1016/j.vaccine.2026.128929,Beyond neutralization: A comprehensive framework for evaluating humoral immunity induced by a live-attenuated tetravalent dengue vaccine,2026,Vaccine,"Gottardo, R.; Dean, H.; Nascimento, E.J.M.; Tricou, V.; Sharma, M.",Article,18732518,88,,128929
embase,2043820194,41833174,10.1016/j.talanta.2026.129666,Chopped optical biosensing enables temporal background subtraction for high-sensitivity fluorescence immunoassays,2026,Talanta,"Burg, S.; Teboul, Y.Y.; Cohen, M.; Ashkenazy, R.; Golani-Zaidie, L.; Terenteva, S.; Lustig, Y.; Indenbaum, V.; Koren, R.; Hoa, T.M.; Kim Tuyen, T.T.; Huyen, M.T.; Hoan, N.M.; Hoi, L.T.; Trung, N.V.; Schwartz, E.; Noam, Y.; Danielli, A.",Article,18733573,305,,129666
embase,2045115984,42061084,10.1016/j.phymed.2026.158184,Deciphering the core antiviral mechanism of Yinqiao powder: Inhibition of dengue virus adsorption mediated by wogonin via host receptor HSP90AA1 blockade,2026,Phytomedicine,"Guo, Z.; He, X.; Chen, B.; Zhang, Z.; Yu, J.; Zhao, W.; Chen, X.; Hu, Y.; Zuo, J.; Yu, L.; Fan, C.; Liu, J.",Article,1618095X,156,,158184
