title,href
Comparison of diagnostic tests for detection of Nonstructural-1 (NS1) antigen dengue virus using immunochromatography and fluorescence immunoassay methods,https://indianjournals.com/article/rjpt-15-4-014
Prospective study to compare results of FIA (fluorescent immunoassay) test with gold standard ELISA test in Dengue NS1 patients admitted in a tertiary care hospital,https://www.sciencedirect.com/science/article/pii/S0255085723000920
Evaluation of a new rapid fluorescence immunoassay for the diagnosis of dengue and Zika virus infection,https://www.sciencedirect.com/science/article/pii/S138665321930023X
"Performance of rapid tests in the management of dengue fever imported cases in Lazio, Italy 2014-2019",https://www.sciencedirect.com/science/article/pii/S120197122030552X
A performance comparison between fluorescent immunoassay and immunochromatography for rapid dengue detection in clinical specimens,https://www.nature.com/articles/s41598-022-21581-x
Evaluating Three Rapid Tests for Dengue in Febrile Patients in a Dengue‐Endemic Area,https://onlinelibrary.wiley.com/doi/abs/10.1111/tmi.70088
A review of the performance of rapid diagnostic tests for the NS1 protein in diagnosing dengue infection. Epidemiol Public Health. 2026; 4 (1): 1088,https://jpublichealth-org.meddocsonline.org/articles/1088.pdf
Overview of dengue diagnostic limitations and potential strategies for improvement,https://www.degruyterbrill.com/document/doi/10.1515/dx-2024-0173/html?recommended=sidebar
Micro-spot with integrated pillars (MSIP) for detection of dengue virus NS1,https://link.springer.com/article/10.1007/s10544-013-9787-3
The combined antigen and antibody testing approach improved the sensitivity of early detection of dengue virus infection,https://indianjournals.com/article/rjpt-18-4-008
Novel nanoparticle based diagnostic methods and tools for detection of biomarkers in clinical samples,https://espace.library.uq.edu.au/view/UQ:689061
Correlation of NS1 Antigen and Dengue Virus Serotype with Infection Status in Dengue Patients,https://indonesianjournalofclinicalpathology.org/index.php/patologi/article/view/3078
Comparison of Anti-Dengue Antibody Diagnostic Tests Using Immunochromatography and Fluorescence Immunoassay Methods at dr. Ario Wirawan Salatiga …,https://jurnal.uns.ac.id/SMedJour/article/view/91999
Evaluation of a dengue NS1 antigen detection assay sensitivity and specificity for the diagnosis of acute dengue virus infection,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003193
"A Multiplexed, Point-of-Care Detection System for Dengue",https://search.proquest.com/openview/33dddcac5d913f0f73615197187a6e29/1?pq-origsite=gscholar&cbl=51922&diss=y
A localized surface plasmon resonance-amplified immunofluorescence biosensor for ultrasensitive and rapid detection of nonstructural protein 1 of Zika virus,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0211517
Positive NS1 Antigen in Non-Dengue Virus Infection Serum: Possible Reasons for the Discrepancy with DENV PCR Results,https://repository.unar.ac.id/jspui/bitstream/123456789/8565/1/28.pdf
"COMPARATIVE EVALUATION OF ELISA, PCR, AND NS1 ANTIGEN DETECTION FOR DENGUE VIRUS DIAGNOSIS",https://scholar.archive.org/work/x2yuxlmmtzgxxe4rabruwsgy6q/access/wayback/https://insightsjhr.com/index.php/home/article/download/484/458
Detection and confirmation of dengue pre‐and postintroduction of dengue NS1‐antigen test at the University Malaya Medical Centre: An observational study,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmv.26790
A rapid point-of-care test for dengue virus-1 based on a lateral flow assay with a near-infrared fluorescent dye,https://www.sciencedirect.com/science/article/pii/S0022175917304830
Dengue pre-vaccination screening test evaluation for the use of dengue vaccine in an endemic area,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0257182
"Comparative Diagnostic Value of Anti-Dengue IgG, Anti-Dengue IgM of Two Rapid Tests in Dengue Virus Infection.",https://openurl.ebsco.com/contentitem/gcd:155597791?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:155597791&crl=c&jrnl=09752366
Quantum dot-based fluoroassays for Zika,https://www.sciencedirect.com/science/chapter/edited-volume/pii/B9780128202678000273
Investigation and Demonstration for immunoassay technology based on impedance Amplifies of magnetic and dielectric microbeads,https://www.sciencedirect.com/science/article/pii/S0026265X24020113
"Inapparent dengue in a community living among dengue-positive Aedes mosquitoes and in a hospital in Klang Valley, Malaysia",https://www.sciencedirect.com/science/article/pii/S0001706X19317206
Chopped optical biosensing enables temporal background subtraction for high-sensitivity fluorescence immunoassays,https://www.sciencedirect.com/science/article/pii/S003991402600322X
Application of magnetic nanomaterials in virus detection: A mini-review,https://www.sciencedirect.com/science/article/pii/S0026265X25029133
Detection of RNA viruses from influenza and HIV to Ebola and SARS-CoV-2: a review,https://pubs.rsc.org/ay/article-abstract/13/1/34/673355
Microfluidic point-of-care diagnostics for multi-disease detection using optical techniques: A review,https://ieeexplore.ieee.org/abstract/document/10171814/
Recent advances in lab-on-paper diagnostic devices using blood samples,https://pubs.rsc.org/lc/article-abstract/21/8/1433/689164
Synthesis and characterization of methacrylic microspheres for biomolecular recognition: Ultrasensitive biosensor for dengue virus detection,https://www.sciencedirect.com/science/article/pii/S0014305714002869
Microsphere integrated microfluidic disk: synergy of two techniques for rapid and ultrasensitive dengue detection,https://www.nature.com/articles/srep16485
Diagnosis of infectious diseases: complexity to convenience,https://pubs.rsc.org/sd/article-abstract/3/3/354/828433
Enzyme-linked immunosorbent assay (ELISA): from A to Z,https://link.springer.com/content/pdf/10.1007/978-981-10-6766-2.pdf
Neutrophil extracellular traps contribute to the disease severity of dengue virus infection,https://pmc.ncbi.nlm.nih.gov/articles/PMC11752674/
"Co-infections of malaria and dengue in Timika, a highly endemic malaria area in Central Papua, Indonesia",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0345164
"Arbo-Score: a rapid score for early identification of patients with imported arbovirosis caused by Dengue, Chikungunya and Zika virus",https://www.mdpi.com/2076-2607/8/11/1731
Recent advances in lateral flow assays for viral protein detection with nanomaterial-based optical sensors,https://www.mdpi.com/2079-6374/14/4/197
Surface modification for improving immunoassay sensitivity,https://pubs.rsc.org/lc/article-abstract/23/5/1151/771071
"Recent Trends of Dengue Virus Infection in Dhaka, Bangladesh",https://banglajol.info/index.php/SJM/article/view/63343
"Molecular detection and epidemiological characterization of dengue and malaria coinfection in the Guiriko region, Burkina Faso",https://www.sciencedirect.com/science/article/pii/S0001706X26001014
Development of New Assays for Epstein–Barr and Porcine Epidemic Diarrhea Viruses,https://journals.sagepub.com/doi/abs/10.1089/vim.2015.1504
Early diagnosis of experimental Trichinella spiralis infection by nano-based enzyme-linked immunosorbent assay (nano-based ELISA),https://www.sciencedirect.com/science/article/pii/S0014489419304424
Comparative evaluation of select serological assays for Zika virus using blinded reference panels,https://www.mdpi.com/1999-4915/16/7/1075
Nanotechnology-based analytical approaches for detection of viruses,https://pubs.rsc.org/ay/article-abstract/9/16/2375/553315
Nanotechnological strategy for the diagnosis of infectious diseases: recent developments and opportunities,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781394175222.ch7
Mapping the global landscape of chikungunya rapid diagnostic tests: A scoping review,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0010067
Advanced nanomaterials for preparedness against (Re‐) emerging viral diseases,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202005927
Development of immunochromatographic and homogeneous assay based on quantum dot-functionalized polystyrene nanoprobes for the qualitative and quantitative …,https://www.sciencedirect.com/science/article/pii/S095656632400722X
Nanobodies: A promising toolkit for diagnostic applications,https://onlinelibrary.wiley.com/doi/abs/10.1002/smm2.70088
"Monoplex and multiplex immunoassays: approval, advancements, and alternatives",https://link.springer.com/article/10.1007/S00580-021-03302-4
