pii,title,year,journal,article_type,url
S003991402600322X,Chopped optical biosensing enables temporal background subtraction for high-sensitivity fluorescence immunoassays,2026,Talanta,research,https://www.sciencedirect.com/science/article/pii/S003991402600322X
S0255085723000920,Prospective study to compare results of FIA (fluorescent immunoassay) test with gold standard ELISA test in Dengue NS1 patients admitted in a tertiary care hospital,2023,Indian Journal of Medical Microbiology,research,https://www.sciencedirect.com/science/article/pii/S0255085723000920
S0732889324004139,Exploring potential application of anti-dengue NS1 human polyclonal antibodies for detection of dengue virus infection,2025,Diagnostic Microbiology and Infectious Disease,research,https://www.sciencedirect.com/science/article/pii/S0732889324004139
S0732889309003241,Evaluation of dengue NS1 antigen detection tests with acute sera from patients infected with dengue virus in Venezuela,2009,Diagnostic Microbiology and Infectious Disease,research,https://www.sciencedirect.com/science/article/pii/S0732889309003241
S240584402405360X,Development of an Enzyme-Linked Immunosorbent Assay (ELISA) as a tool to detect NS1 of dengue virus serotype 2 in female Aedes aegypti eggs for the surveillance of dengue fever transmission,2024,Heliyon,research,https://www.sciencedirect.com/science/article/pii/S240584402405360X
S1201971214014386,NS1-based tests with diagnostic utility for confirming dengue infection: a meta-analysis,2014,International Journal of Infectious Diseases,research,https://www.sciencedirect.com/science/article/pii/S1201971214014386
S0166093424001150,Diagnostic accuracy of Dengue NS1 lateral flow immunoassay in comparison to reverse transcriptase polymerase chain reaction and enzyme linked Immunosorbent Assay,2024,Journal of Virological Methods,research,https://www.sciencedirect.com/science/article/pii/S0166093424001150
S0022175925002005,Development of a sensitive sandwich ELISA for the envelope domain III protein of dengue virus type 2,2025,Journal of Immunological Methods,research,https://www.sciencedirect.com/science/article/pii/S0022175925002005
S1046592825002177,Novel anti-NS1 human single domain antibody from dengue infected NS1 positive patients,2026,Protein Expression and Purification,research,https://www.sciencedirect.com/science/article/pii/S1046592825002177
S0022175923000856,Expression of recombinant dengue virus type 1 non-structural protein 1 in mammalian cells and preliminary assessment of its suitability to detect human IgG antibodies elicited by viral infection,2023,Journal of Immunological Methods,research,https://www.sciencedirect.com/science/article/pii/S0022175923000856
S0141813025064116,β-Roll-targeting peptide and Ectoine synergy: A novel strategy to impair dengue NS1 function,2025,International Journal of Biological Macromolecules,research,https://www.sciencedirect.com/science/article/pii/S0141813025064116
S0732889317301098,Serodiagnosis of dengue virus infection using commercially available antibody and NS1 antigen ELISAs,2017,Diagnostic Microbiology and Infectious Disease,research,https://www.sciencedirect.com/science/article/pii/S0732889317301098
S0255085725000027,"Identification of Dengue virus serotype and genotype: A comprehensive study from AIIMS Patna, Bihar",2025,Indian Journal of Medical Microbiology,research,https://www.sciencedirect.com/science/article/pii/S0255085725000027
S0031302520304645,Fever in the returned traveller: the utility of the Platelia Dengue NS1 antigen enzyme immunoassay for the diagnosis of dengue in a non-endemic setting,2020,Pathology,research,https://www.sciencedirect.com/science/article/pii/S0031302520304645
S0166093415002190,Development and characterization of mouse monoclonal antibodies against monomeric dengue virus non-structural glycoprotein 1 (NS1),2015,Journal of Virological Methods,research,https://www.sciencedirect.com/science/article/pii/S0166093415002190
S1386653211000242,The development of a novel serotyping-NS1-ELISA to identify serotypes of dengue virus,2011,Journal of Clinical Virology,research,https://www.sciencedirect.com/science/article/pii/S1386653211000242
S0001706X19309714,Serological tests reveal significant cross-reactive human antibody responses to Zika and Dengue viruses in the Mexican population,2020,Acta Tropica,research,https://www.sciencedirect.com/science/article/pii/S0001706X19309714
S1684118215007628,Improving dengue viral antigens detection in dengue patient serum specimens using a low pH glycine buffer treatment,2017,"Journal of Microbiology, Immunology and Infection",research,https://www.sciencedirect.com/science/article/pii/S1684118215007628
S2666524725000163,"Evaluating the performance of common reference laboratory tests for acute dengue diagnosis: a systematic review and meta-analysis of RT-PCR, NS1 ELISA, and IgM ELISA",2025,The Lancet Microbe,research,https://www.sciencedirect.com/science/article/pii/S2666524725000163
S0166093418300855,Development of antibody biomarkers of long term and recent dengue virus infections,2018,Journal of Virological Methods,research,https://www.sciencedirect.com/science/article/pii/S0166093418300855
S0022175914001197,Dengue NS1 and prM antibodies increase the sensitivity of acute dengue diagnosis test and differentiate from Japanese encephalitis infection,2014,Journal of Immunological Methods,research,https://www.sciencedirect.com/science/article/pii/S0022175914001197
S0032579123004455,Linear epitope identification of monoclonal antibodies against the duck Tembusu virus NS1,2023,Poultry Science,research,https://www.sciencedirect.com/science/article/pii/S0032579123004455
S266703802300011X,Performance evaluation of a rapid dengue NS1 antigen lateral flow immunoassay test with reference to dengue NS1 antigen-capture ELISA,2023,Journal of Clinical Virology Plus,research,https://www.sciencedirect.com/science/article/pii/S266703802300011X
S1386653214003217,Approach to non-invasive sampling in dengue diagnostics: Exploring virus and NS1 antigen detection in saliva and urine of travelers with dengue,2014,Journal of Clinical Virology,research,https://www.sciencedirect.com/science/article/pii/S1386653214003217
S1386653217301270,Re-evaluation of routine dengue virus serology in travelers in the era of Zika virus emergence,2017,Journal of Clinical Virology,research,https://www.sciencedirect.com/science/article/pii/S1386653217301270
S0732889324000567,Systematic review and meta-analysis: assessing the accuracy of rapid immunochromatographic tests in dengue diagnosis,2024,Diagnostic Microbiology and Infectious Disease,review,https://www.sciencedirect.com/science/article/pii/S0732889324000567
S1046592818305436,"Expression of soluble, glycosylated and correctly folded dengue virus NS1 protein in Pichia pastoris",2019,Protein Expression and Purification,research,https://www.sciencedirect.com/science/article/pii/S1046592818305436
S0732889310004359,Prospective evaluation of nonstructural 1 enzyme-linked immunosorbent assay and rapid immunochromatographic tests to detect dengue virus in patients with acute febrile illness,2011,Diagnostic Microbiology and Infectious Disease,research,https://www.sciencedirect.com/science/article/pii/S0732889310004359
S0732889310002804,Evaluation of ASSURE® Dengue IgA Rapid Test using dengue-positive and dengue-negative samples,2010,Diagnostic Microbiology and Infectious Disease,research,https://www.sciencedirect.com/science/article/pii/S0732889310002804
S0732889309000078,Evaluation of dengue NS1 test kits for the diagnosis of dengue fever,2009,Diagnostic Microbiology and Infectious Disease,research,https://www.sciencedirect.com/science/article/pii/S0732889309000078
S1684118212001557,Laboratory diagnostics of dengue fever: An emphasis on the role of commercial dengue virus nonstructural protein 1 antigen rapid test,2013,"31 Research articleOpen archive Laboratory diagnostics of dengue fever: An emphasis on the role of commercial dengue virus nonstructural protein 1 antigen rapid test Journal of Microbiology, Immunology and Infection",research,https://www.sciencedirect.com/science/article/pii/S1684118212001557
S0166093414003954,"Rapid detection and differentiation of dengue virus serotypes by NS1 specific reverse transcription loop-mediated isothermal amplification (RT-LAMP) assay in patients presenting to a tertiary care hospital in Hyderabad, India",2015,"32 Research articleComplimentary access Rapid detection and differentiation of dengue virus serotypes by NS1 specific reverse transcription loop-mediated isothermal amplification (RT-LAMP) assay in patients presenting to a tertiary care hospital in Hyderabad, India Journal of Virological Methods",research,https://www.sciencedirect.com/science/article/pii/S0166093414003954
S1319562X20302576,Surface plasmon resonance analysis for detecting non-structural protein 1 of dengue virus in Indonesia,2020,Saudi Journal of Biological Sciences,research,https://www.sciencedirect.com/science/article/pii/S1319562X20302576
S2666053924000924,Laser-induced graphene electrochemical immunosensors for rapid and sensitive serological detection: A case study on dengue detection platform,2025,Sensors and Actuators Reports,research,https://www.sciencedirect.com/science/article/pii/S2666053924000924
S1567134817304318,Episodes of the epidemiological factors correlated with prevailing viral infections with dengue virus and molecular characterization of serotype-specific dengue virus circulation in eastern India,2018,"Infection, Genetics and Evolution",research,https://www.sciencedirect.com/science/article/pii/S1567134817304318
S0264410X20300074,Design and production of dengue virus chimeric proteins useful for developing tetravalent vaccines,2020,Vaccine,research,https://www.sciencedirect.com/science/article/pii/S0264410X20300074
S016609341830065X,Recombinant DENV 2 NS5: An effective antigen for diagnosis of DENV infection,2019,Journal of Virological Methods,research,https://www.sciencedirect.com/science/article/pii/S016609341830065X
S0009898126003281,Biomarker-driven biosensing strategies for early risk stratification in severe dengue,2026,Clinica Chimica Acta,review,https://www.sciencedirect.com/science/article/pii/S0009898126003281
S0732889308005282,Detection of dengue nonstructural 1 (NS1) protein in Vietnamese patients with fever,2009,Diagnostic Microbiology and Infectious Disease,research,https://www.sciencedirect.com/science/article/pii/S0732889308005282
S0166093418300818,Development of an anti-dengue NS1 IgG ELISA to evaluate exposure to dengue virus,2018,Journal of Virological Methods,research,https://www.sciencedirect.com/science/article/pii/S0166093418300818
S1386653209005423,"Early diagnosis of dengue in travelers: Comparison of a novel real-time RT-PCR, NS1 antigen detection and serology",2010,Journal of Clinical Virology,research,https://www.sciencedirect.com/science/article/pii/S1386653209005423
S1876034118303083,Dengue Outbreak in Peshawar: Clinical Features and Laboratory Markers of Dengue Virus Infection,2019,Journal of Infection and Public Health,research,https://www.sciencedirect.com/science/article/pii/S1876034118303083
S0732889317302717,Evaluation of OneStep Dengue NS1 RapiDip™ InstaTest and OneStep Dengue Fever IgG/IgM RapiCard™ InstaTest during the course of a dengue type 1 epidemic,2017,Diagnostic Microbiology and Infectious Disease,research,https://www.sciencedirect.com/science/article/pii/S0732889317302717
S0161589012004658,Preliminary evaluation of DNA vaccine candidates encoding dengue-2 prM/E and NS1: Their immunity and protective efficacy in mice,2013,Molecular Immunology,research,https://www.sciencedirect.com/science/article/pii/S0161589012004658
S0732889307005846,Evaluation of an NS1 antigen detection for diagnosis of acute dengue infection in patients with acute febrile illness,2008,Diagnostic Microbiology and Infectious Disease,research,https://www.sciencedirect.com/science/article/pii/S0732889307005846
S2222180814605880,"The 2011 outbreak of dengue virus infection in Malwa region of Punjab, India-an evaluation of various diagnostic tests",2011,Asian Pacific Journal of Tropical Disease,research,https://www.sciencedirect.com/science/article/pii/S2222180814605880
S0732889316303194,Evaluation of a pan-serotype point-of-care rapid diagnostic assay for accurate detection of acute dengue infection,2017,Diagnostic Microbiology and Infectious Disease,research,https://www.sciencedirect.com/science/article/pii/S0732889316303194
S0026265X19321654,A new tool for dengue virus diagnosis: Optimization and detection of anti-NS1 antibodies in serum samples by impedimetric transducers,2020,Microchemical Journal,research,https://www.sciencedirect.com/science/article/pii/S0026265X19321654
S016609340800387X,Performance of a commercial rapid dengue NS1 antigen immunochromatography test with reference to dengue NS1 antigen-capture ELISA,2009,Journal of Virological Methods,research,https://www.sciencedirect.com/science/article/pii/S016609340800387X
S0956566312005258,Immunospot assay based on fluorescent nanoparticles for Dengue fever detection,2013,Biosensors and Bioelectronics,research,https://www.sciencedirect.com/science/article/pii/S0956566312005258
S0166093406003855,Evaluation of a commercial dengue NS1 antigen-capture ELISA for laboratory diagnosis of acute dengue virus infection,2007,Journal of Virological Methods,research,https://www.sciencedirect.com/science/article/pii/S0166093406003855
S0732889310001276,NS1 antigen as an early diagnostic marker in dengue: report from India,2010,Diagnostic Microbiology and Infectious Disease,research,https://www.sciencedirect.com/science/article/pii/S0732889310001276
S0255085721012743,Evaluation of a commercial Dengue NS1 enzyme-linked immunosorbent assay for early diagnosis of dengue infection,2011,Indian Journal of Medical Microbiology,research,https://www.sciencedirect.com/science/article/pii/S0255085721012743
S1995764516300104,"Dengue outbreak in Swat and Mansehra, Pakistan 2013: An epidemiological and diagnostic perspective",2013,Asian Pacific Journal of Tropical Medicine,research,https://www.sciencedirect.com/science/article/pii/S1995764516300104
S1386653213002205,"Evaluation of laboratory tests for dengue diagnosis in clinical specimens from consecutive patients with suspected dengue in Belo Horizonte, Brazil",2013,Journal of Clinical Virology,research,https://www.sciencedirect.com/science/article/pii/S1386653213002205
S2352396417300087,A Multiplex Microsphere Immunoassay for Zika Virus Diagnosis,2017,EBioMedicine,research,https://www.sciencedirect.com/science/article/pii/S2352396417300087
S1386653211002848,Dengue virus isolation relying on antibody-dependent enhancement mechanism using FcγR-expressing BHK cells and a monoclonal antibody with infection-enhancing capacity,2011,Journal of Clinical Virology,research,https://www.sciencedirect.com/science/article/pii/S1386653211002848
S1198743X14627142,Evaluation and use of NS1 IgM antibody detection for acute dengue virus diagnosis: report from an outbreak investigation,2012,58 Research articleOpen archive Evaluation and use of NS1 IgM antibody detection for acute dengue virus diagnosis: report from an outbreak investigation Clinical Microbiology and Infection,research,https://www.sciencedirect.com/science/article/pii/S1198743X14627142
S0974694313002284,Development of an ultrasensitive hetero-sandwich ELISA assay based on bispecific monoclonal antibody for the detection of dengue NS1 protein,2013,59 Research articleComplimentary access Development of an ultrasensitive hetero-sandwich ELISA assay based on bispecific monoclonal antibody for the detection of dengue NS1 protein Journal of Pharmacy Research,research,https://www.sciencedirect.com/science/article/pii/S0974694313002284
S0255085721014468,Dengue NS1 antigen detection: A useful tool in early diagnosis of dengue virus infection,2010,Indian Journal of Medical Microbiology,research,https://www.sciencedirect.com/science/article/pii/S0255085721014468
S0001706X22003709,Association of self-reported allergic rhinitis with dengue severity: A case-control study,2022,Acta Tropica,research,https://www.sciencedirect.com/science/article/pii/S0001706X22003709
S2222180813600584,Retrospective analysis of dengue specific IgM reactive serum samples,2013,Asian Pacific Journal of Tropical Disease,research,https://www.sciencedirect.com/science/article/pii/S2222180813600584
S073288930700332X,Evaluation of the Panbio dengue virus nonstructural 1 antigen detection and immunoglobulin M antibody enzyme-linked immunosorbent assays for the diagnosis of acute dengue infections in Laos,2008,Diagnostic Microbiology and Infectious Disease,research,https://www.sciencedirect.com/science/article/pii/S073288930700332X
S0166093418304324,Added value of IgA antibodies against Zika virus non-structural protein 1 in the diagnosis of acute Zika virus infections,2019,Journal of Virological Methods,research,https://www.sciencedirect.com/science/article/pii/S0166093418304324
S2165049722003754,Performance Evaluation of a Dengue IgG Rapid Diagnostic Test Designed to Determine Dengue Serostatus as Part of Prevaccination Screening,2022,Microbiology Spectrum,research,https://www.sciencedirect.com/science/article/pii/S2165049722003754
S1773035X1530201X,Les tests de diagnostic rapide dans le diagnostic des arboviroses,2015,Revue Francophone des Laboratoires,research,https://www.sciencedirect.com/science/article/pii/S1773035X1530201X
S0264410X16301669,Detection of dengue cases by serological testing in a dengue vaccine efficacy trial: Utility for efficacy evaluation and impact of future vaccine introduction,2016,Vaccine,research,https://www.sciencedirect.com/science/article/pii/S0264410X16301669
S0166093418301216,Multi-laboratory comparison of three commercially available Zika IgM enzyme-linked immunosorbent assays,2018,Journal of Virological Methods,research,https://www.sciencedirect.com/science/article/pii/S0166093418301216
S0168170214000860,Comprehensive mapping of a novel NS1 epitope conserved in flaviviruses within the Japanese encephalitis virus serocomplex,2014,Virus Research,research,https://www.sciencedirect.com/science/article/pii/S0168170214000860
S0264410X00003911,Antibody to the nonstructural protein NS1 of Japanese encephalitis virus: potential application of mAb-based indirect ELISA to differentiate infection from vaccination,2001,Vaccine,research,https://www.sciencedirect.com/science/article/pii/S0264410X00003911
S1874285815000035,Challenges in the Laboratory Diagnosis and Management of Dengue Infections,,The Open Microbiology Journal,research,https://www.sciencedirect.com/science/article/pii/S1874285815000035
S0264410X03003104,Evaluation of protective efficacy and immune mechanisms of using a non-structural protein NS1 in DNA vaccine against dengue 2 virus in mice,2003,Vaccine,research,https://www.sciencedirect.com/science/article/pii/S0264410X03003104
S097628841730036X,Clinical profile of dengue in a hitherto non-endemic region—A hospital based study from northeast India,2017,Indian Journal of Medical Specialities,research,https://www.sciencedirect.com/science/article/pii/S097628841730036X
S0928493119338962,A LEGO inspired fiber probe analytical platform for early diagnosis of Dengue fever,2020,74 Research articleComplimentary access A LEGO inspired fiber probe analytical platform for early diagnosis of Dengue fever Materials Science and Engineering: C,research,https://www.sciencedirect.com/science/article/pii/S0928493119338962
